class Sort.MergeSort,100,0,99216
class Sort.MergeSort,100,1,103493
class Sort.MergeSort,100,2,118460
class Sort.MergeSort,100,3,102637
class Sort.MergeSort,100,4,1573768
class Sort.MergeSort,100,5,107769
class Sort.MergeSort,100,6,104775
class Sort.MergeSort,100,7,82109
class Sort.MergeSort,100,8,83393
class Sort.MergeSort,100,9,78261
class Sort.MergeSort,100,10,73129
class Sort.MergeSort,100,11,79544
class Sort.MergeSort,100,12,69280
class Sort.MergeSort,100,13,73984
class Sort.MergeSort,100,14,73557
class Sort.MergeSort,100,15,73557
class Sort.MergeSort,100,16,85958
class Sort.MergeSort,100,17,82537
class Sort.MergeSort,100,18,72701
class Sort.MergeSort,100,19,69707
class Sort.MergeSort,100,20,73984
class Sort.MergeSort,100,21,72702
class Sort.MergeSort,100,22,70563
class Sort.MergeSort,100,23,70991
class Sort.MergeSort,100,24,79972
class Sort.MergeSort,100,25,87670
class Sort.MergeSort,100,26,85103
class Sort.MergeSort,100,27,251033
class Sort.MergeSort,100,28,78688
class Sort.MergeSort,100,29,81254
