class Sort.MergeSortHybridSelection,1000,0,4306909
class Sort.MergeSortHybridSelection,1000,1,1158088
class Sort.MergeSortHybridSelection,1000,2,930576
class Sort.MergeSortHybridSelection,1000,3,940840
class Sort.MergeSortHybridSelection,1000,4,938274
class Sort.MergeSortHybridSelection,1000,5,932715
class Sort.MergeSortHybridSelection,1000,6,932287
class Sort.MergeSortHybridSelection,1000,7,956236
class Sort.MergeSortHybridSelection,1000,8,1055452
class Sort.MergeSortHybridSelection,1000,9,976335
class Sort.MergeSortHybridSelection,1000,10,936136
class Sort.MergeSortHybridSelection,1000,11,1006271
class Sort.MergeSortHybridSelection,1000,12,955808
class Sort.MergeSortHybridSelection,1000,13,929294
class Sort.MergeSortHybridSelection,1000,14,930148
class Sort.MergeSortHybridSelection,1000,15,1007126
class Sort.MergeSortHybridSelection,1000,16,939129
class Sort.MergeSortHybridSelection,1000,17,1280398
class Sort.MergeSortHybridSelection,1000,18,1195722
class Sort.MergeSortHybridSelection,1000,19,1208979
class Sort.MergeSortHybridSelection,1000,20,1259015
class Sort.MergeSortHybridSelection,1000,21,1002422
class Sort.MergeSortHybridSelection,1000,22,938274
class Sort.MergeSortHybridSelection,1000,23,933570
class Sort.MergeSortHybridSelection,1000,24,944261
class Sort.MergeSortHybridSelection,1000,25,1034068
class Sort.MergeSortHybridSelection,1000,26,889521
class Sort.MergeSortHybridSelection,1000,27,893370
class Sort.MergeSortHybridSelection,1000,28,891232
class Sort.MergeSortHybridSelection,1000,29,890805
